name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-57 c,Confirmed,0.0233,0.0198,0.0296,,,,0.15,0.012,0.034,11.6092567,8.6e-05,8.6e-05,,,,,,,,,,,2012,2023-01-17,,,,,,,2454966.99083,0.0027,0.0027,2454966.99083,0.0027,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"KOI-1270  c, 2MASS J19343390+4439253 c, K01270.02, KIC 8564587 c, KOI-1270 c, KOI-1270.02, WISE J193433.91+443925.4  c",,Kepler-57,293.641285,44.65704,15.5,,13.437,13.022,,656.23,8.89,8.89,-0.04,,,0.83,0.066,0.066,0.73,0.179,0.179,,,,,5145.0,166.0,166.0,,,"KOI-1270, KIC 8564587, 2MASS 19343390+4439253, 2MASS J19343390+4439253, WISE J193433.91+443925.4"
Kepler-595 b,Confirmed,0.05475,0.01196,0.02234,,,,0.331,0.001,0.001,25.3029092,6e-06,6e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19381689+5040228 b, K00547.01, KIC 12116489 b, KOI-547 b, KOI-547.01, TIC 27231753 b, WISE J193816.89+504022.8 b",,Kepler-595,294.570393,50.673023,,,13.335,12.94,12.862,639.0,,,0.08,0.157,0.15,0.93,0.06,0.06,0.82,0.24,0.24,,,,,5247.0,79.67,59.03,,,"2MASS J19381689+5040228, KIC 12116489, KOI-547, TIC 27231753, WISE J193816.89+504022.8"
Kepler-595 c,Confirmed,0.01038,0.00315,0.00535,,,,0.09,0.002,0.002,12.38602,5e-06,5e-06,,,,,,,,,,,2020,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19381689+5040228 c, K00547.03, KIC 12116489 c, KOI-547 c, KOI-547.03, TIC 27231753 c, WISE J193816.89+504022.8 c",,Kepler-595,294.570393,50.673023,,,13.335,12.94,12.862,639.0,,,0.08,0.157,0.15,0.93,0.06,0.06,0.82,0.24,0.24,,,,,5247.0,79.67,59.03,,,"2MASS J19381689+5040228, KIC 12116489, KOI-547, TIC 27231753, WISE J193816.89+504022.8"
Kepler-59 b,Confirmed,2.05,2.05,0.0,,,,0.098,,,11.8681707,0.00036,0.00036,0.112,0.002,0.002,0.09,0.05,0.09,88.4,1.0,1.0,,2012,2025-01-24,301.0,69.0,150.0,,,,2454970.74767,0.011,0.011,2454970.74767,0.011,0.011,,,,,,,0.5,0.3,0.3,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19080948+4638244 b, K01529.02, KIC 9821454 b, KOI-1529 b, KOI-1529.02, WISE J190809.47+463824.4  b",,Kepler-59,287.039503,46.640129,14.8,,13.253,12.974,,1203.57,23.09,23.09,,,,1.04,,,0.94,,,,,,,6074.0,,,,,"2MASS J19080948+4638244, KIC 9821454, KOI-1529, WISE J190809.47+463824.4"
Kepler-59 c,Confirmed,1.37,1.37,0.0,,,,0.177,,,17.9801235,0.0003,0.0003,0.148,0.002,0.002,0.09,0.05,0.08,88.8,0.8,0.8,,2012,2025-01-24,29.0,89.0,51.0,,,,2454980.69818,0.0065,0.0065,2454980.69818,0.0065,0.0065,,,,,,,0.5,0.3,0.3,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19080948+4638244 c, K01529.01, KIC 9821454 c, KOI-1529 c, KOI-1529.01, WISE J190809.47+463824.4  c",,Kepler-59,287.039503,46.640129,14.8,,13.253,12.974,,1203.57,23.09,23.09,,,,1.04,,,0.94,,,,,,,6074.0,,,,,"2MASS J19080948+4638244, KIC 9821454, KOI-1529, WISE J190809.47+463824.4"
Kepler-5 b,Confirmed,2.111,0.086,0.067,,,,1.426,0.051,0.036,3.5484657,7e-07,7e-07,0.0538,0.0021,0.0015,0.0,,,89.14,0.32,0.44,,2009,2021-02-05,,,,,,,2454955.90144,2e-05,2e-05,2454955.90122,0.00021,0.00021,,,,,,,0.0968,0.049,0.035,,,,227.5,2.8,2.8,1750.0,20.0,20.0,,,0.16,0.03,0.03,,Announced on a website,Primary Transit,,,"2MASS J19573768+4402061 b, K00018.01, KIC 8191672 b, KOI-18 b, KOI-18.01, WISE J195737.69+440206.0  b",,Kepler-5,299.407009,44.035046,,,12.115,11.863,,923.41,17.22,17.22,0.04,0.06,0.06,1.37,0.06,0.04,1.79,0.06,0.04,,,,,6297.0,60.0,60.0,,,"2MASS J19573768+4402061, KIC 8191672, KOI-18, WISE J195737.69+440206.0"
Kepler-60 b,Confirmed,0.01318,0.00164,0.00176,,,,0.153,0.012,0.012,7.1334,0.0001,0.0001,0.07497,,,,,,,,,,2012,2021-02-05,,,,,,,2456462.2796,0.0033,0.0034,2454969.03637,0.0047,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19155069+4215540 b, K02086.01, KIC 6768394 b, KOI-2086 b, KOI-2086.01, WISE J191550.69+421554.0  b",,Kepler-60,288.961242,42.265011,14.5,,12.804,12.569,,1056.17,20.64,20.64,-0.09,0.1,0.1,1.04,0.08,0.08,1.26,0.09,0.09,,,,,5905.0,144.0,144.0,,,"2MASS J19155069+4215540, KIC 6768394, KOI-2086, WISE J191550.69+421554.0"
Kepler-60 c,Confirmed,0.01211,0.00255,0.00255,,,,0.17,0.013,0.013,8.9187,0.0002,0.0002,0.08701,,,,,,,,,,2012,2021-02-05,,,,,,,2456466.5827,0.0032,0.0032,2454973.06513,0.0047,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19155069+4215540 c, K02086.02, KIC 6768394 c, KOI-2086 c, KOI-2086.02, WISE J191550.69+421554.0  c",,Kepler-60,288.961242,42.265011,14.5,,12.804,12.569,,1056.17,20.64,20.64,-0.09,0.1,0.1,1.04,0.08,0.08,1.26,0.09,0.09,,,,,5905.0,144.0,144.0,,,"2MASS J19155069+4215540, KIC 6768394, KOI-2086, WISE J191550.69+421554.0"
Kepler-60 d,Confirmed,0.01309,0.00236,0.00264,,,,0.178,0.014,0.014,11.8981,0.0002,0.0002,0.10548,,,,,,,,,,2012,2021-02-05,,,,,,,2456460.2779,0.0037,0.0038,2454966.24626,0.0063,0.0063,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19155069+4215540 d, K02086.03, KIC 6768394 d, KOI-2086 d, KOI-2086.03, WISE J191550.69+421554.0  d",,Kepler-60,288.961242,42.265011,14.5,,12.804,12.569,,1056.17,20.64,20.64,-0.09,0.1,0.1,1.04,0.08,0.08,1.26,0.09,0.09,,,,,5905.0,144.0,144.0,,,"2MASS J19155069+4215540, KIC 6768394, KOI-2086, WISE J191550.69+421554.0"
Kepler-62 b,Confirmed,0.03,,,0.028,0.028,0.0,0.117,0.0036,0.0036,5.714932,9e-06,9e-06,0.0553,0.0005,0.0005,,,,89.2,0.4,0.4,,2013,2021-02-05,,,,,,,2455003.9189,0.0009,0.0009,2455003.9189,0.0009,0.0009,,,,,,,0.25,0.13,0.13,,,,,,,750.0,41.0,41.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J18525105+4520595 b, K00701.02, KIC 9002278 b, KOI-701 b, KOI-701.02, WISE J185251.03+452059.0  b",,Kepler-62,283.212747,45.349865,14.0,,12.256,11.739,,368.0,,,-0.37,0.04,0.04,0.69,0.02,0.02,0.64,0.02,0.02,K2 V,7.0,-4.0,4.0,4925.0,70.0,70.0,,,"2MASS J18525105+4520595, KIC 9002278, KOI-701, WISE J185251.03+452059.0"
